title_uais,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Домино,316503,261887,268031,242274,252157,271511,289630,341845,340424,343582,392582,349250,334547,273703,267056,282293,278409,280608,270946,323096,330311,340717,375533,348652
Мы всегда жили в замке,199,195,212,189,245,222,519,416,298,341,270,199,382,1275,12882,23878,26840,16132,17405,12686,6552,5327,7393,11915
Вита и Вирджиния,141,115,164,202,385,632,793,824,776,1332,2365,2090,2184,2044,5223,27308,14268,7843,9722,6944,5189,5457,4606,2935
Дитя тьмы,36347,55314,30282,61337,56749,77897,43400,48179,39313,36387,56299,100313,62820,47669,62251,64414,68756,59463,37252,44323,77821,86990,109777,66262
Люди в черном: Интернэшнл,0,0,0,0,0,0,0,0,0,18152,65752,64127,32298,30724,53556,745779,558564,487258,479826,320340,244637,205313,205803,187134
Боль и слава,772,827,795,663,471,612,663,897,828,943,1136,1698,1835,2313,8848,69229,54474,40726,42351,40575,26462,24649,45061,29641
Донбасс. Окраина,0,0,0,0,0,0,0,2886,838,719,2684,6443,4085,3233,7486,150190,126600,59828,162660,94995,86655,56378,53904,32211
Питомец Юрского периода,178,108,74,98,125,207,164,208,242,375,264,257,216,2434,3144,22984,22171,18243,36455,33175,25918,19718,41158,40670
Венецианский детектив,0,0,0,0,0,0,0,35,5,8,16,37,87,246,741,10019,6177,4599,1872,1674,2160,3009,3621,3494
История игрушек 4,29260,20746,20571,32226,30406,25319,20019,19872,27383,23251,33864,41021,63501,64452,74784,479588,521104,376454,370528,365240,257747,181201,203280,179031
Дылда,9138,8329,11856,7699,8119,8508,9374,11330,12642,12257,12746,11837,11568,13706,49583,227727,214522,126566,544053,7915288,2509480,497185,478391,492032
Дитя робота,0,0,0,0,0,0,0,0,16,35,52,958,117,300,29685,203141,230954,260910,313145,384937,231950,203338,208738,114212
Зов волка,473,375,352,403,269,259,360,548,598,431,551,568,1229,1293,3654,71828,99655,72850,59408,172636,86416,60470,193369,88949
Берлин я люблю тебя,174,200,247,144,186,229,191,226,256,596,612,2264,2945,2028,2906,16358,12144,9797,5748,5673,6189,3821,4163,4715
Мой друг Зигмунд Фрейд,0,0,0,0,0,0,0,0,0,0,0,0,46,1007,364,9380,10059,8137,5901,5926,7180,10795,11892,8874
Охотник на оленей,9173,5447,5443,4826,8840,12345,9793,11565,8762,6967,6348,7498,6046,6418,7170,23436,11525,10000,9085,7173,7069,7636,8739,7478
Проклятие Аннабель-3,1224,781,881,1515,1865,1601,1577,1565,1445,1419,2069,1806,2860,14690,15188,164779,400514,287842,191440,186961,136989,115955,146279,96086
Собачья жизнь 2,1508,1519,1408,1403,1614,1556,877,1005,1201,1012,1559,9626,40886,19995,37865,179402,390201,375857,275406,255955,206546,153227,178704,142749
Та еще парочка,116372,99204,149765,125365,123706,113818,105005,118924,115460,110550,122698,119130,150309,126731,153419,230539,465268,490828,363171,414431,383889,286547,324747,271500
План побега 3,256,199,238,907,1214,1063,998,1127,1094,1245,2221,2343,2302,2610,8641,94836,128047,55854,76208,85645,60983,108295,70765,36704
Битва за Землю,4371,3605,3868,3381,3565,3799,3386,3969,8435,8674,11962,13555,54954,56131,75711,196949,253564,219525,173663,263718,168207,127206,112849,80079
Выше неба 16+ и 18+,49122,43440,42684,47567,39350,37506,60359,60413,44013,44663,48485,50820,51761,52762,50358,86038,119716,116788,113139,145986,103268,93397,111168,101547
Однажды в Стокгольме,0,0,0,0,0,22,50,47,93,147,168,180,615,1452,2108,19570,27212,12250,9648,12132,10073,7357,9540,7776
Человек-Паук: Вдали от дома,0,0,0,2368,7576,6419,10632,20941,14831,43642,186310,103016,138762,115104,313775,427839,2426614,1285419,1451371,929160,518944,379032,410836,354485
Паразиты,491400,410234,407545,342984,401564,344140,379929,507656,473912,470445,505106,536710,525113,513553,490024,422549,758686,898776,793359,912928,817356,839755,1260084,2621403
Норм и Несокрушимые: Большое путешествие,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3098,25185,10706,9732,15884,12508,11173,9881,7602
Ибица,3580,3072,4195,8957,11779,18208,22788,28770,18146,8032,9253,7163,7411,5740,5295,8372,57532,26291,15445,16783,42437,22146,24127,66047
Голем: Начало,0,0,0,0,0,0,0,0,91,782,5849,25734,36485,18630,16781,24566,373265,89563,38964,83873,49741,24771,9680,9631
Клуб анонимных киллеров,0,0,0,0,0,0,0,0,0,0,0,0,31,781,1389,6329,64414,29877,30768,29154,29032,15859,13882,12850
Вспыш и чудо-машинки и Расти-механик,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,2557,1255,1523,1986,2091,1434,978,839
Двойная жизнь,221784,61110,54249,53587,51428,46576,55203,56702,36741,51841,78602,51781,53178,35032,117294,38046,50829,41635,39116,38445,41100,34044,49900,48736
Красавчик со стажем,0,0,0,0,0,0,0,0,0,0,0,0,0,2612,14034,16471,75827,53903,66151,66256,88224,46068,48030,35856
Присягнувшая тьме,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13892,13163,51957,26458,15187,18651,20127,14791,14914,24447
Курск,13212,7884,8728,7629,7674,12712,26320,20734,25723,23456,65953,126008,108899,64725,59666,158523,293900,208460,256380,163536,143584,93632,97536,54746
Король Лев,475170,408350,318130,333695,349534,384115,379490,368570,756942,740928,566322,553082,597378,589634,545323,667979,4595486,3316801,2060679,2534808,1665046,1183935,1637757,1063444
Король Лев фильм,9056,6083,6706,7513,8465,9337,7439,8044,95568,70465,82585,130208,122727,121911,115703,149288,1140252,1036316,830601,1049405,665217,439641,617541,380938
Солнцестояние,2283,2301,2913,3063,3233,2489,1971,1977,1929,1602,1945,1320,1362,1289,3385,23624,232715,338174,247191,275781,184412,136587,176810,125396
Искусство обмана,3344,8053,7935,5904,6208,5214,4228,4302,4266,3716,5909,4212,4718,3619,5270,21138,138957,95546,97851,94930,88900,89041,64240,50079
Мертвые не умирают,1671,2130,1766,1874,2278,2813,2135,3474,3000,2486,2764,2693,2897,10663,28753,38959,154385,107268,277720,305989,258882,167995,149436,116036
Соблазн,53433,36767,37831,42273,80737,38751,46642,58049,58191,54384,109141,130532,164107,145892,146409,120027,181193,122270,104898,101581,105396,77193,92751,85212
Код Гиас: Лелуш Воскресший,1178,792,852,820,889,827,741,973,620,1042,1512,10925,7983,7765,11045,13855,51123,27723,18064,16816,15320,17409,19147,17219
Обитель тьмы,1178,792,852,820,889,827,741,973,620,1042,1512,10925,7983,7765,11045,13855,51123,27723,18064,16816,15320,17409,19147,17219
Мышеловка. 4Х4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2397,2780,2961,1608,1421,944,1736,3431
Видок: Охотник на призраков,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24209,128236,268458,200878,179600,219253,109328,69254,30304
До скорой встречи,255,173,180,209,348,225,280,277,232,244,821,364,368,269,377,2285,45705,57453,25345,16732,17719,10663,9391,7570
Шаг вперед 6: Год танцев,0,0,0,0,0,0,0,0,0,0,0,0,0,53,317,824,17144,46213,20225,15797,22166,3917,4224,3240
Приключения Реми,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,1324,22697,22611,23714,29738,39148,31138,31781,34779
Офелия,441,812,605,481,513,406,435,575,656,437,797,548,508,526,1154,5782,28103,22663,17718,24797,23854,20196,22385,13111
Некромант,891,805,716,700,853,1038,1168,1753,1301,1571,1840,1599,2185,1592,1828,2462,28405,60885,30931,34028,45869,25821,18646,25231
Форсаж: Хоббс и Шоу,0,0,0,0,0,0,0,0,0,0,0,68553,44120,70656,78368,76925,307893,2007327,1389275,1099980,635826,432871,454725,392115
Руслан и Людмила: Перезагрузка,0,0,0,0,0,0,0,0,0,0,0,0,3341,23204,25671,16410,20736,75907,35710,37503,39445,35059,34683,24672
Как отмыть миллион,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6149,6465,36230,36348,23924,30494,19871,12629,7133
Вельзевул,308,209,191,194,296,610,531,568,305,234,359,288,352,681,4876,2759,3955,13565,6813,17551,21838,19838,81044,69017
Гив ми либерти,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132,128,4122,29736,15074,20796,31912,22765,35859,28331
"Вудсток: Три дня, изменившие поколение",53,56,43,58,51,149,74,59,64,31,55,90,57,73,149,479,626,3764,4531,4212,3988,3774,4797,3040
Добро пожаловать в Рим,13,11,13,19,13,8,8,34,20,10,25,11,21,16,14,371,2217,10904,4672,2014,2129,1229,2208,2437
Однажды... в Голливуде,4116,2894,2745,7455,6841,7481,4428,6348,5075,5775,23009,16729,71411,33200,127715,79713,194846,2207286,923661,883384,1227015,1010851,902579,677516
Дора и Затерянный город,33,7,10,14,23,19,9,19,21,9,10,41,38660,37524,23039,19917,33735,282854,129050,104654,238276,154183,92438,51307
Страшные истории для рассказа в темноте,0,0,43,34,53,57,41,30,14,49,248,3494,6620,5464,7609,11930,49000,370457,203067,368411,242149,161740,187090,127398
BTS Открой свою душу. Фильм,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,243,7622,2357,1408,1655,854,1183,965
Angry Birds 2 в кино,297,223,250,362,504,626,391,826,750,715,1622,2281,20552,19788,26817,28062,42503,160316,155022,172716,134572,84639,79697,66395
Синяя бездна 2,167,287,171,61,110,153,132,176,139,81,114,128,139,301,551,4313,12637,192270,132405,159083,243100,162986,133114,116535
Смерть и жизнь Джона Ф.Донована,2927,2400,2345,2358,3096,4574,4992,4949,3762,4362,7923,4770,5348,4690,7332,6052,7491,40305,44865,27161,19578,17024,17168,12266
Голоса с того света,474,393,371,405,302,566,739,925,414,361,449,335,383,592,2151,4401,14640,66119,54562,49236,49311,45493,36217,18463
7 социопатов,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,706,13090,14948,13174,9216,6804,7821,6034
Красивый бандит,501,421,425,440,383,487,397,597,504,563,648,679,807,591,1631,1009,1302,7408,6163,4662,3139,2888,3120,2459
Мобильный воин Гандам: Нарратив,0,0,0,0,0,0,0,0,0,0,19,6,0,32,431,836,1039,7932,1960,1751,1378,1362,1497,961
Капкан,33426,17618,22731,25857,24290,23541,23430,27622,26619,20031,23437,21226,20199,31849,56446,30079,47710,440458,364594,292306,274840,299447,225969,156479
ЭБИГЕЙЛ,69318,50864,50564,46036,36847,36083,34250,35110,38759,40294,46762,46814,41116,36637,65073,45052,46133,417119,329061,280266,165723,157138,169509,92752
Падение ангела,2087,1287,1467,1207,1317,1377,1366,2001,1694,1964,2427,2513,2142,2325,8351,9028,15141,227093,332129,305014,598991,397624,264100,196547
Трудности выживания,0,0,0,0,254,185,96,143,1145,294,3504,1546,349,454,2040,7726,9393,99483,76425,62768,40399,32746,21519,17425
UglyDolls. Куклы с характером,0,0,0,0,0,96,74,41,141,263,811,1631,1031,1276,2690,2986,3847,12886,17168,16716,13829,13007,10310,8556
БЫК,17298,14549,14642,12654,13920,13836,13957,15285,15520,17434,25148,33135,28785,19051,16587,100295,52390,170563,262551,177987,135273,103004,116221,203468
Свет моей жизни,604,412,375,399,567,555,579,600,740,718,753,1342,1121,818,775,902,1338,8681,16281,15341,12113,12574,13405,10303
Божественная любовь,115,63,51,58,80,54,92,83,70,67,92,70,84,257,116,116,163,5080,2036,3227,2669,1736,2060,3426
Я иду искать,515,577,447,715,408,378,463,505,762,441,678,551,454,397,422,518,96859,97140,292817,234231,321454,461857,334796,198011
Игра Ганнибала,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195,17198,119745,143916,88188,149583,109388,77414,74086
Команда мечты,7336,6126,5874,10729,11063,7496,6727,8010,8782,8607,9555,9032,9397,7341,9496,9756,11700,38136,65531,78549,77990,67787,54077,46090
Королевские каникулы,220,154,103,92,110,138,91,122,104,172,239,127,137,112,93,182,4112,20753,127520,110229,89409,130972,145530,92088
Щенячий патруль: Суперпатруль 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,653,2360,2405,3382,3737,2741,2265
Тачка на миллион,0,0,54,50,38,187,219,120,117,249,202,147,234,135,160,2138,1681,21698,29766,30690,43350,23062,22143,11003
Маленькие секреты большой компании,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6764,6161,12422,13499,30845,31426,25771,19896,18764,16131
Клуб любителей книг и пирогов из картофельных очистков,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32477,41392,0,37190,0,28680,31967
Одесса,37358,30724,23069,21335,23962,22447,21684,26252,21670,22252,27216,23005,20912,18353,19895,26840,59446,90644,448959,210586,121945,91989,121163,57346
Жара,22398,19104,20893,27984,26011,28607,26684,24335,22894,22693,26074,23168,27588,21707,23611,31836,29181,37524,147865,79305,112852,78935,60875,52145
"Куда ты пропала, Бернадетт?",6,20,28,30,20,40,28,37,36,66,242,213,477,1581,1250,572,750,1827,19425,17825,33454,35453,36567,23784
Опасные секреты,44,90,51,40,26,47,40,33,25,44,24,27,29,41,66,21,85,2609,20007,10381,21267,21628,20339,17523
Царство,116063,79956,95528,100819,92783,87943,86880,100901,91536,89382,102158,96627,108380,84401,98106,113940,80793,80737,110915,123584,163213,119098,155717,147220
Работа без авторства,439,242,230,192,240,239,405,640,482,612,1660,2725,1553,4165,7576,10800,16832,23903,78120,93705,80361,73065,88179,93633
Стриптизёрши,4094,3004,3282,2790,3795,4108,4137,4170,3496,4501,5013,3704,3924,3601,3598,3730,20142,20327,185129,111067,117963,172087,141849,81980
Щегол,721,720,518,483,1676,1867,1497,1787,1459,1270,2259,2207,1992,1750,5417,11495,16318,17516,246577,102694,107838,156332,158739,99448
Дорогой папа,52,48,68,84,102,57,45,39,243,1716,918,2611,4511,5662,5844,5453,5516,8780,62152,60602,46900,26080,25133,15083
Птичий дозор,14020,9339,8373,7374,3983,1471,4633,8224,5723,1598,1253,1116,1236,1104,1236,3356,11714,6703,51739,17215,12757,7252,12265,10517
Пункт назначения: Смайл,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,883,19877,39565,136840,153128,83405,58061,85502,81467
Тайна Печати Дракона,21580,11090,75921,179347,213036,60887,76949,41444,19990,25049,38259,35462,39558,69220,35987,30678,58422,105136,840511,704722,600160,376710,352144,214992
Манхэттен,117221,94304,92553,90605,95072,105721,103393,120483,107434,109831,117311,111782,122098,98004,99616,93472,96472,99753,121834,116845,114733,115068,124463,123133
Промар,206,249,197,164,225,113,145,166,132,138,221,228,1256,1646,2072,1523,1678,3489,45609,28827,16751,18112,17394,23898
Рэмбо: Последняя кровь,132,239,113,154,140,242,156,278,265,530,799,789,1915,3247,6488,10749,8660,16991,277494,294710,269384,400543,211614,115654
Yesterday (Вчера),218,165,194,152,187,164,200,189,139,150,212,1495,819,746,834,1772,4123,3978,53068,39078,32541,17454,16623,18284
Комната желаний,736,579,540,484,545,597,531,955,832,918,949,896,753,649,800,571,36783,23977,201701,303338,242255,311338,337719,184400
Побег из джунглей,187,112,111,123,96,64,81,113,117,125,134,70,143,70,71,92,112,4781,52249,25578,31750,26872,19690,18528
Сестренка,9332,3486,3287,3507,3365,4841,3760,4496,8066,4699,5244,4780,5316,5795,5418,5173,4939,6490,92011,355103,216307,123550,108897,86294
"Проклятие ""Мэри""",34,54,73,32,78,48,27,30,57,42,55,48,36,45,42,61,116,1224,24855,26643,32727,14461,14426,9132
Зеровилль,1946,1227,1242,1433,1797,1916,1617,1586,1198,1315,1560,982,1357,1022,1148,1170,2723,3068,23096,21462,23205,13191,12452,8645
К звездам,7,13,22,11,13,33,27,68,51,163,1414,2675,3309,3007,10659,27760,19663,22134,202271,334493,300961,510687,277170,134288
Герой,0,66,119,92,100,86,94,131,146,246,1580,1761,2816,7432,9433,19605,31789,53328,202812,404429,296589,131476,117944,192160
После свадьбы,0,0,0,0,0,0,0,0,0,0,0,23,62,47,59,238,401,1056,8613,7482,9697,4507,7005,6393
Джокер,356077,355146,327317,320068,376183,337900,412899,482890,855932,472074,429860,404029,429936,486868,363564,372142,371986,453675,840169,7305208,4087299,2838786,2561707,2090547
Эверест,531606,370264,265604,230907,232329,247037,271873,314102,332614,417006,381337,452170,303791,270631,322858,247978,276131,255890,445242,1274161,780617,985624,806309,692621
Волшебник,1074970,741872,565255,506572,510093,557473,562892,650971,653429,658246,736148,803273,776174,689962,543979,495565,513936,966029,1135868,910625,894878,806679,968752,840924
Ты умеешь хранить секреты?,865,934,950,848,935,982,775,1051,875,768,1131,1028,1382,2409,1469,1558,2487,36474,68146,125721,90201,76650,115817,72146
Леонардо да Винчи. Неизведанные миры,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,205,2147,15313,8944,4898,4493,4505
Добыча,0,0,0,0,0,0,0,0,300,70,81,90,216,165,674,5791,7820,7804,10364,29709,17146,18985,19103,17993
Гемини,3152,2496,2279,2225,2393,2226,2200,2394,2509,2442,2453,2095,2496,67796,34312,23242,49173,65083,152083,948548,774167,584121,842262,378736
Девушки бывают разные,5523,4039,3686,3744,3697,3993,3724,4106,4943,6367,5724,5733,6375,4542,4564,4936,4632,18940,37464,379603,331350,204069,167411,94568
Дождливый день в Нью-Йорке,737,360,335,496,598,704,667,802,640,639,1499,1174,2108,3360,5635,7235,5178,8003,13762,218770,130060,88960,258586,159866
Болевой порог,24407,24745,23223,20210,20746,19103,18341,23292,23000,23007,24963,23793,24975,21873,20834,19398,20169,22383,20656,73746,103412,59011,63545,49088
Маленькие чудовища,1848,1070,1573,2815,3450,4941,2599,1682,1561,1764,1691,2678,2298,1479,1824,5362,8294,7905,16083,51605,51277,36954,47943,47894
Малефисента: Владычица тьмы,0,0,0,0,0,0,0,0,0,0,0,0,8870,14725,26730,9181,23270,15054,23712,468305,417488,305129,664217,287541
"ОКЕЙ, ЛЕКСИ!",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26729,85406,55554,73854,202270,114687
Джуди,69922,54348,57533,53842,58009,55140,50725,67123,56083,58961,65379,59407,72736,52911,56984,54990,60096,64554,74838,115031,88016,85117,151817,237273
Прощание,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177,498,297,408,590,7502,6240,9216,25828,20313
Текст,48532,39932,38422,30164,31737,30974,34159,43545,43431,49079,51265,50533,50416,43686,41765,51911,48808,52806,76566,1044050,3639029,2147373,2232339,914355
Мысленный волк,1583,1476,1221,1854,1379,1786,2822,2154,1638,1918,1671,1579,1881,1567,2046,6852,3254,3008,2975,34950,20887,9865,13242,7170
Zомбилэнд: Контрольный выстрел,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6784,8246,58450,103410,118587,198252,128936
Урфин Джюс возвращается,46536,46333,54986,33090,31959,33598,30692,30623,32416,32048,41699,30895,34133,29862,28016,29963,36713,39878,40341,152251,127282,72182,78694,80449
Сельма в городе призраков,0,0,0,0,0,0,0,0,0,0,0,0,0,8,851,2252,4034,6195,6147,30156,30071,27138,57246,40616
Арахисовый сокол,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3358,1333,6753,7067,41876,96283,228683,208743,166564
Три секунды,9988,9333,7987,4290,3652,3898,7595,10883,8298,8855,13438,20637,17065,15409,11861,10288,11250,11397,17842,73219,56938,96045,162954,131393
Поменяться местами,22501,16924,16435,15960,19062,17950,18476,23038,23478,40153,43158,24998,24533,20736,21569,20382,28157,38568,28024,55975,51944,70841,87149,63597
Сторож,1724,1510,1499,2125,1565,2046,1756,2219,2054,1995,2975,5899,5263,3305,3626,9075,8053,7911,8122,149958,162658,105892,126932,107972
Иные,669096,684854,700536,567833,405088,395453,578046,838237,761103,784814,795960,714614,778191,777676,755687,638358,471929,460411,594729,870261,947825,1091253,1034360,1022361
Дикая Лига (авторская версия),159,258,304,234,293,988,1107,1582,1738,1634,3959,4411,3158,1841,1525,1178,1475,2189,3153,40468,75491,59056,37857,25551
Семейка Аддамс,70675,47698,42425,63320,71639,60070,53596,94676,65270,53472,52045,46371,48825,85266,70070,75847,78955,122854,109888,825348,1774731,762440,736823,461362
Терминатор: Темные судьбы,0,0,0,0,0,0,0,0,0,0,0,0,20117,33979,94254,54418,51583,68328,97599,481517,1392595,841491,1208644,910583
РОБО,15451,13597,13334,12582,13280,13660,17584,22171,20754,25854,17716,16720,17827,16107,16741,15477,17720,17828,19681,37556,109718,72123,57586,45182
Верность,447199,427418,528911,530560,2124321,360121,389124,458909,406923,416892,446494,450950,421681,400693,506028,542519,2489215,384389,447436,621154,1374545,767417,762445,621149
Дитя погоды,0,0,0,0,0,0,0,0,0,285,386,3701,3205,6467,7526,14115,19473,31172,34632,123182,242493,121139,148490,116027
Француз,155214,144201,142699,141035,199282,108693,137028,172875,178892,186849,190301,158761,179440,175619,154105,119099,121336,123915,148676,196844,315491,223525,243496,210460
Клара и волшебный дракон,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2555,18626,7892,9126,8208
Ленин Неизбежность,0,0,0,0,0,0,0,0,0,0,0,0,0,35,76,10,10,386,1004,5123,24931,18306,19911,11523
Доктор Сон,4399,3763,3179,4139,4119,4518,4450,4666,4664,4533,5377,5330,5318,5285,4114,20842,10621,10552,33611,64871,803174,482198,688406,648296
Во все тяжкое,720527,554164,527063,514872,577244,586126,552785,642740,636303,627280,746447,643655,675425,545259,532423,548544,580009,563423,606368,1171646,1094094,980143,1006696,806822
Девятая,252831,259867,303542,221913,184871,195999,262842,282102,264194,246794,267625,280265,282589,308662,284991,184352,219336,188805,304954,343838,619636,453866,545725,422107
Алла Пугачёва. Тот самый концерт,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10090,88436,133823,62490,7870
Райские холмы,146,673,218,112,83,84,111,116,149,271,552,723,712,966,819,609,2194,7654,27486,24637,60554,50512,51918,44416
Ford против Ferrari,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4592,1710,1614,5015,8157,132239,170244,345144,244971
Ангелы Чарли,39473,35874,27190,24873,40800,32588,35901,31971,50278,29840,42278,25903,29324,27289,32361,49104,61964,49838,56695,85597,503129,222719,232453,346811
Мидуэй,3433,2968,3239,2696,2650,2785,2812,3928,3471,3897,3883,3719,3520,3691,3638,7734,35412,12864,16423,32066,276654,155599,282076,250054
Хороший лжец,2102,1846,1293,1611,1338,1331,1935,1595,1200,1315,1883,1753,1513,1126,2430,10840,8106,4378,3734,12805,115300,48084,85990,149615
Стражи Арктики,0,0,0,0,0,0,0,0,449,457,1027,1387,1776,1229,1419,1404,928,3022,4296,7437,66335,34549,37651,50219
Грех,91322,72913,76156,84807,88384,90808,87951,109480,100330,113457,165870,103099,96212,80167,85287,84640,149660,86869,79872,138888,389874,200761,163451,145196
Аванпост,14236,16598,15400,14123,60778,97007,132910,158737,74426,58382,102572,64395,90626,48531,57747,48259,103825,175205,219392,245594,1366271,1757240,1136575,657323
Давай разведемся!,21996,17998,18609,19398,18375,17564,17891,21371,19490,17975,17098,18790,17390,16070,14881,40617,27558,27063,34913,38969,388894,363192,569210,205678
Аббатство Даунтон,143249,103900,89344,97311,118047,117764,106633,148686,119288,108178,171696,153041,144242,105706,107365,119170,138022,136463,150858,208349,359838,334964,432283,301689
Обратный отсчет,367129,81275,54224,44837,44172,40881,42006,49365,44333,53923,46496,69792,44961,41304,34365,32232,32871,31761,45874,115018,223569,467584,719807,343007
Достать ножи,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5357,17159,14952,17030,209714,714093,1178244,1306899
Холодное сердце II,91024,39970,37093,40545,38527,54575,34350,40727,45969,83370,108362,163121,145565,96188,97748,146184,139400,149877,171859,335830,1389072,3370013,2870191,1983248
Лев Яшин. Вратарь моей мечты,1199,1636,1268,2375,2183,1290,1685,3062,2415,2129,3375,2739,4153,3360,2931,2582,22353,8676,6781,9606,74084,195483,190743,108920
Тварь,0,0,0,0,0,0,172,99,179,438,3382,5284,6103,5831,6962,13774,11805,12698,13224,15563,76112,98583,52944,30549
Прекрасная эпоха,20941,9623,7654,54719,15187,9107,9292,8671,7460,8206,8070,7260,19254,10495,9624,13222,7675,8247,8829,8470,40359,70496,80206,56383
Джуманджи: Новый уровень,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42750,30883,29747,35102,128881,1048251,1525236,1447683
Рождество на двоих,46,31,28,42,55,61,56,101,117,319,475,30,32,23,32,28,38,38,17894,19854,47552,623015,489158,200098
Ржев,332793,342116,385713,313269,319173,335759,318001,381718,336070,310209,356583,324690,375492,401690,464897,378889,388209,363765,347908,390886,623932,2193682,1407952,1376999
Сиротский Бруклин,185,65,52,54,71,60,79,35,51,74,109,116,208,240,219,201,288,18063,6826,6103,26801,212026,272061,266526
Война Токов,24501,19372,24488,24186,21385,18060,17550,17834,15604,17681,21628,16020,17596,12391,13686,15392,16022,14242,26280,33369,45603,163208,99487,50442
21 мост,5338,6384,8331,6970,6566,6269,6483,7324,7173,6409,6167,6952,7533,8390,13233,35011,25830,26370,18552,29113,49949,207720,241499,599233
Решала. Нулевые,0,352,507,350,206,211,612,683,529,630,686,658,652,651,628,531,877,1699,3536,4371,19149,239169,445265,160463
Аэронавты,1768,2312,2642,1922,1996,2489,4062,3493,1747,1579,1967,1983,2261,2520,3138,2359,1924,2097,4951,10161,17438,82100,92127,65854
Рожденный после смерти,860,784,584,421,553,842,360,573,393,468,525,506,728,747,487,447,403,345,476,739,25165,43821,104117,66075
Полицейский с Рублевки. Новогодний Беспредел 2,0,0,0,0,0,0,0,0,0,591,1315,698,677,346,599,331,6013,4313,4188,14149,75421,1440354,2304724,1316307
Тайна Мосли,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5938,36720,28435,24546
Звёздные Войны: Скайуокер. Восход,0,0,0,0,0,0,0,0,0,0,0,0,0,2901,14954,11678,12486,17836,22347,42401,78914,789239,621182,473631
Фиксики против кработов,0,21,114,2189,4017,5106,2789,3023,3066,5324,24591,39211,53098,56540,54321,51353,59441,53633,32115,44807,75707,478385,793909,652069
Черное Рождество,3543,2810,2536,2741,2961,2854,3550,4643,4337,8980,11064,4181,3694,3169,3254,4364,3650,3380,5368,6704,8861,95685,61432,51361
Иван Царевич и Серый Волк 4,16542,9201,11040,12263,10577,9297,20505,61162,55760,12636,15611,9458,19627,10245,11851,31409,37913,43721,45305,93839,121049,338315,913261,655042
Холоп,36514,25253,23528,18583,16149,16114,33993,48232,42809,40843,51560,42846,39658,30084,29045,22141,18973,18025,271604,279526,363375,1842290,10743571,7540345
Союз спасения,7576,5330,7232,5691,5302,6031,8089,12495,10842,45651,32232,24438,21592,19371,17073,12122,10665,10516,17389,25903,61568,713226,2118890,796240
Ходячий замок,116494,78343,77789,93620,85337,86650,72603,117062,99837,94016,108569,132717,103986,78655,88336,79137,126546,113908,77291,103121,98756,129515,160918,116815
