Название в ЕАИС,pr_week - 8,pr_week - 7,pr_week - 6,pr_week - 5,pr_week - 4,pr_week - 3,pr_week - 2,pr_week - 1,pr_week
Вилли и крутые тачки,0.0,0.0,4.0,0.0,0.0,0.0,0.0,34.0,100.0
Белль и Себастьян: друзья навек,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Бои без правил,48.0,47.0,38.0,51.0,56.0,32.0,39.0,45.0,36.0
"Человек, который убил Дон Кихота",0.0,8.0,0.0,8.0,0.0,8.0,0.0,0.0,8.0
Патрик,22.0,76.0,61.0,59.0,60.0,67.0,55.0,45.0,41.0
Лоро,3.0,4.0,10.0,3.0,10.0,12.0,3.0,10.0,18.0
Идеальная западня,0.0,0.0,0.0,0.0,0.0,20.0,32.0,15.0,15.0
1+1: Голливудская история,89.0,83.0,88.0,81.0,81.0,85.0,87.0,88.0,87.0
Пышка,6.0,15.0,15.0,10.0,20.0,14.0,51.0,38.0,37.0
Закатать в асфальт,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0
МУЛЬТ в кино. Выпуск № 94,nan,nan,nan,nan,nan,nan,nan,nan,nan
МУЛЬТ в кино. Выпуск № 97,nan,nan,nan,nan,nan,nan,nan,nan,nan
Золотая перчатка,6.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,27.0
Голем: Начало,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Присягнувшая тьме,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Соблазн,2.0,2.0,2.0,2.0,2.0,3.0,3.0,4.0,2.0
Как отмыть миллион,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ИГЛА,nan,nan,nan,nan,nan,nan,nan,nan,54.0
Щенячий патруль: Суперпатруль 2,nan,nan,nan,nan,nan,nan,nan,nan,0.0
Добыча,48.0,74.0,51.0,55.0,49.0,30.0,46.0,47.0,43.0
Тайна Мосли,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
С широко закрытыми глазами. Не просто сон: Стэнли Кубрик с широко закрытыми глазами,32.0,22.0,30.0,21.0,24.0,22.0,14.0,16.0,14.0
"Убийство в ""Восточном экспрессе""",2.0,5.0,7.0,5.0,5.0,9.0,17.0,27.0,96.0
Карп отмороженный,1.0,4.0,3.0,3.0,5.0,3.0,7.0,1.0,4.0
МУЛЬТ в кино. Выпуск № 68,nan,nan,nan,nan,nan,nan,nan,nan,0.0
МУЛЬТ в кино. Выпуск №73,nan,nan,nan,nan,nan,nan,nan,nan,0.0
МУЛЬТ в кино. Выпуск № 74,nan,nan,nan,nan,nan,nan,nan,nan,0.0
МУЛЬТ в кино. Выпуск № 75,nan,nan,nan,nan,nan,nan,nan,nan,0.0
МУЛЬТ в кино. Выпуск № 76,nan,nan,nan,nan,nan,nan,nan,nan,0.0
Мир будущего,7.0,12.0,14.0,15.0,16.0,17.0,10.0,36.0,57.0
МУЛЬТ в кино. Выпуск № 77,nan,nan,nan,nan,nan,nan,nan,nan,nan
Книжный клуб,44.0,31.0,27.0,34.0,24.0,25.0,29.0,34.0,17.0
МУЛЬТ в кино. Выпуск № 78,nan,nan,nan,nan,nan,nan,nan,nan,nan
Горные огни,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Экстаз,5.0,5.0,3.0,3.0,5.0,3.0,3.0,3.0,4.0
Примадонна,22.0,17.0,12.0,15.0,46.0,46.0,26.0,29.0,20.0
Под Сильвер-Лэйк,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Спитак,2.0,3.0,1.0,3.0,4.0,7.0,8.0,9.0,6.0
Хрусталь,35.0,26.0,33.0,38.0,26.0,34.0,28.0,57.0,39.0
Воспитательница,14.0,6.0,5.0,11.0,3.0,9.0,8.0,11.0,8.0
Середина 90-х,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Апокалипсис сегодня. Расширенная версия,nan,nan,nan,nan,nan,nan,nan,nan,14.0
Мин урдубэр кун хаhан да киирбэт (Надо мною солнце не садится),5.0,5.0,11.0,16.0,11.0,5.0,5.0,16.0,5.0
Так сказал Чарли,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Космическое приключение,22.0,4.0,11.0,7.0,0.0,11.0,4.0,3.0,7.0
За мечтой,13.0,15.0,28.0,15.0,11.0,7.0,4.0,17.0,32.0
Клуб анонимных киллеров,0.0,0.0,0.0,0.0,0.0,2.0,0.0,15.0,92.0
Приключения Реми,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Плюс один,42.0,33.0,46.0,36.0,42.0,64.0,33.0,29.0,29.0
7 социопатов,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
МУЛЬТ в кино. Выпуск № 103,nan,nan,nan,nan,nan,nan,nan,nan,nan
Джуди,7.0,8.0,7.0,8.0,4.0,8.0,12.0,11.0,10.0
Сторож,nan,nan,nan,nan,nan,nan,nan,nan,12.0
Француз,nan,nan,nan,nan,nan,nan,nan,nan,12.0
Курьер,55.0,66.0,62.0,65.0,57.0,68.0,72.0,74.0,85.0
Солярис.,nan,nan,nan,nan,nan,nan,nan,nan,0.0
"Ван Гог. С любовью, Винсент",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Бахубали: Рождение легенды,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
МУЛЬТ в кино. Выпуск № 67,nan,nan,nan,nan,nan,nan,nan,nan,0.0
Хэппи-энд,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Трон эльфов,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
МУЛЬТ в кино. Выпуск № 70,nan,nan,nan,nan,nan,nan,nan,nan,0.0
МУЛЬТ в кино. Выпуск № 71,nan,nan,nan,nan,nan,nan,nan,nan,0.0
Полночное солнце,27.0,37.0,29.0,20.0,5.0,15.0,25.0,55.0,65.0
Невероятная история о гигантской груше,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0
Точка невозврата,13.0,4.0,11.0,14.0,9.0,19.0,12.0,12.0,4.0
Моя бывшая подружка,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
МУЛЬТ в кино. Выпуск № 79,nan,nan,nan,nan,nan,nan,nan,nan,nan
"Не волнуйся, он далеко не уйдет",0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0
Мир принадлежит тебе,4.0,0.0,0.0,0.0,5.0,4.0,0.0,0.0,0.0
МУЛЬТ в кино. Выпуск № 81,nan,nan,nan,nan,nan,nan,nan,nan,nan
МУЛЬТ в кино. Выпуск № 82,nan,nan,nan,nan,nan,nan,nan,nan,nan
Проза бродячих псов. Фильм,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
На край света: В поисках единорога,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Почему мы креативны?,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Петсон и Финдус. Лучшее на свете Рождество,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Белый парень Рик,0.0,2.0,5.0,5.0,2.0,6.0,2.0,0.0,0.0
Тетрадь дружбы Нацумэ,nan,nan,nan,nan,nan,nan,nan,nan,4.0
30 безумных желаний,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ван Гоги,1.0,5.0,2.0,5.0,10.0,5.0,8.0,21.0,89.0
Агент Мамбо,nan,nan,nan,nan,nan,nan,nan,nan,0.0
МУЛЬТ в кино. Выпуск № 95,nan,nan,nan,nan,nan,nan,nan,nan,0.0
Варавва,4.0,2.0,4.0,2.0,6.0,4.0,0.0,0.0,6.0
Игрища престолов,13.0,8.0,10.0,100.0,60.0,25.0,11.0,8.0,15.0
"Берлин, я люблю тебя",0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0
Вспыш и чудо-машинки и Расти-механик,nan,nan,nan,nan,nan,nan,nan,nan,0.0
Код Гиас: Лелуш Воскресший,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,12.0
Вельзевул,23.0,19.0,13.0,23.0,17.0,19.0,21.0,27.0,33.0
Опасные секреты,0.0,3.0,3.0,3.0,0.0,3.0,0.0,0.0,0.0
Болевой порог,nan,nan,nan,nan,nan,nan,nan,nan,26.0
Прощание,4.0,3.0,3.0,4.0,4.0,3.0,3.0,4.0,3.0
МУЛЬТ в кино. Выпуск №105,nan,nan,nan,nan,nan,nan,nan,nan,0.0
Клара и волшебный дракон,0.0,0.0,0.0,0.0,0.0,12.0,6.0,27.0,72.0
Lil Peep: всё для всех,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Аэронавты,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Реальная любовь в Нью-Йорке,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
МУЛЬТ в кино. Выпуск № 109,nan,nan,nan,nan,nan,nan,nan,nan,nan
Добро пожаловать на юг - 2 или Соседям вход запрещен!,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Погружение,9.0,9.0,10.0,10.0,13.0,14.0,8.0,12.0,11.0
"До свидания там, наверху",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Девушки и танки,3.0,6.0,6.0,9.0,6.0,12.0,9.0,3.0,12.0
Великолепная,6.0,7.0,7.0,9.0,9.0,25.0,9.0,9.0,7.0
Роналду против Месси,7.0,13.0,7.0,7.0,100.0,94.0,55.0,53.0,46.0
МОЯ ЖИЗНЬ,nan,nan,nan,nan,nan,nan,nan,nan,47.0
Дело Собчака,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
Хот-Дог,36.0,15.0,15.0,0.0,33.0,0.0,7.0,21.0,21.0
Джим Пуговка и машинист Лукас,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
МУЛЬТ в кино. Выпуск № 80,nan,nan,nan,nan,nan,nan,nan,nan,nan
Храброе сердце. Заговор в королевстве,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Руби и повелитель воды,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Любовник моей жены,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Тайна магазина игрушек,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
МУЛЬТ в кино. Выпуск № 83,nan,nan,nan,nan,nan,nan,nan,nan,0.0
Помешанный на времени,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,83.0
Пирсинг,56.0,66.0,72.0,68.0,74.0,70.0,74.0,70.0,75.0
Снежные гонки,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
МУЛЬТ в кино. Выпуск № 91,nan,nan,nan,nan,nan,nan,nan,nan,0.0
МУЛЬТ в кино. Выпуск № 92,nan,nan,nan,nan,nan,nan,nan,nan,0.0
Стертая личность,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Синонимы,59.0,35.0,58.0,82.0,86.0,78.0,82.0,75.0,87.0
Велотачки,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
Играй или умри,0.0,2.0,4.0,0.0,4.0,0.0,2.0,27.0,100.0
Однажды в Стокгольме,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Красивый бандит,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Тачка на миллион,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
МУЛЬТ в кино. Выпуск № 102,nan,nan,nan,nan,nan,nan,nan,nan,nan
После свадьбы,32.0,40.0,33.0,33.0,38.0,38.0,34.0,37.0,43.0
Манхэттенский фестиваль короткометражного кино 2019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Экспедиция,nan,nan,nan,nan,nan,nan,nan,nan,46.0
Побег из Шоушенка,nan,nan,nan,nan,nan,nan,nan,nan,33.0
МУЛЬТ в кино. Выпуск № 108,nan,nan,nan,nan,nan,nan,nan,nan,nan
"Отель ""Гранд Будапешт""",nan,nan,nan,nan,nan,nan,nan,nan,61.0
Легенда о Коловрате,4.0,4.0,2.0,4.0,7.0,16.0,23.0,80.0,100.0
Кое-что на день рождения,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Махнем на Луну!,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Кавалерия,24.0,6.0,4.0,8.0,12.0,11.0,10.0,13.0,42.0
"Знаешь, мама, где я был?",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Круги дьявола,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Решение о ликвидации,53.0,100.0,46.0,28.0,24.0,16.0,28.0,13.0,57.0
Мэнди,5.0,13.0,11.0,10.0,11.0,5.0,14.0,9.0,52.0
Дикая жизнь,4.0,0.0,0.0,2.0,2.0,0.0,2.0,6.0,4.0
Догмэн,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Я - миллиардер,84.0,83.0,85.0,89.0,88.0,85.0,82.0,79.0,80.0
Мертвец,nan,nan,nan,nan,nan,nan,nan,nan,25.0
Капернаум,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
Чужой,nan,nan,nan,nan,nan,nan,nan,nan,13.0
Норм и Несокрушимые: Ключи от королевства,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Асса,nan,nan,nan,nan,nan,nan,nan,nan,40.0
Амундсен,7.0,7.0,6.0,15.0,6.0,3.0,12.0,9.0,15.0
МУЛЬТ в кино. Выпуск №96,nan,nan,nan,nan,nan,nan,nan,nan,0.0
Королева сердец,2.0,4.0,0.0,2.0,2.0,0.0,5.0,3.0,0.0
Мы всегда жили в замке,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0
МУЛЬТ в кино. Выпуск № 99,nan,nan,nan,nan,nan,nan,nan,nan,0.0
Принцесса Мононоке,nan,nan,nan,nan,nan,nan,nan,nan,12.0
Офелия,19.0,17.0,14.0,11.0,21.0,14.0,3.0,24.0,18.0
Гив ми либерти,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Мобильный воин Гандам: Нарратив,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Манхэттен,nan,nan,nan,nan,nan,nan,nan,nan,35.0
Акварель,44.0,50.0,44.0,47.0,57.0,55.0,54.0,52.0,52.0
МУЛЬТ в кино. Выпуск № 107,nan,nan,nan,nan,nan,nan,nan,nan,nan
Мой любимый динозавр,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Эйфория,nan,nan,nan,nan,nan,nan,nan,nan,5.0
МУЛЬТ в кино. Выпуск № 69,nan,nan,nan,nan,nan,nan,nan,nan,0.0
МУЛЬТ в кино. Выпуск № 72,nan,nan,nan,nan,nan,nan,nan,nan,nan
Большой злой лис и другие сказки,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Чудеса,nan,nan,nan,nan,nan,nan,nan,nan,64.0
ЗАНОВО РОДИТЬСЯ,nan,nan,nan,nan,nan,nan,nan,nan,0.0
Горы,35.0,36.0,35.0,38.0,35.0,27.0,28.0,27.0,26.0
Зверь,42.0,74.0,71.0,71.0,63.0,74.0,67.0,79.0,66.0
Это чертово сердце,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Мектуб, моя любовь",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Моё поколение (My Generation),19.0,18.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0
Бельканто,10.0,5.0,17.0,15.0,17.0,12.0,15.0,15.0,17.0
На границе миров,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Непотопляемые,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
МУЛЬТ в кино. Выпуск № 88,nan,nan,nan,nan,nan,nan,nan,nan,0.0
МУЛЬТ в кино. Выпуск № 89,nan,nan,nan,nan,nan,nan,nan,nan,0.0
Пилигрим,nan,nan,nan,nan,nan,nan,nan,nan,26.0
Навсикая из долины ветров,nan,nan,nan,nan,nan,nan,nan,nan,4.0
Малыш Кид,4.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0
Весёлая ферма,18.0,17.0,12.0,23.0,6.0,29.0,6.0,18.0,6.0
Вита и Вирджиния,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
Венецианский детектив,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Мой друг Зигмунд Фрейд,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Обитель тьмы,5.0,0.0,0.0,2.0,0.0,7.0,5.0,0.0,0.0
Некромант,nan,nan,nan,nan,nan,nan,nan,nan,10.0
Добро пожаловать в Рим,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Маленькие секреты большой компании,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Царство,nan,nan,nan,nan,nan,nan,nan,nan,98.0
Промар,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Мысленный волк,11.0,6.0,0.0,3.0,8.0,8.0,5.0,8.0,13.0
Райские холмы,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0
Идеальный пациент,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0
Петсон и Финдус. Маленький мучитель - большая дружба,nan,nan,nan,nan,nan,nan,nan,nan,0.0
Побег из Рио,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
Опасное задание,4.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0
Голубая игуана,0.0,0.0,0.0,8.0,8.0,0.0,0.0,70.0,100.0
Царь-птица (Тойон кыыл),0.0,50.0,50.0,25.0,0.0,25.0,24.0,25.0,0.0
Кукловод,16.0,13.0,8.0,15.0,11.0,8.0,12.0,10.0,6.0
Чародейка,21.0,18.0,22.0,30.0,18.0,26.0,23.0,22.0,19.0
Магазинные воришки,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,37.0
Быть Астрид Линдгрен,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
Вы умрете или мы вернем вам деньги,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Один король - одна Франция,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
Химера,23.0,32.0,37.0,32.0,39.0,63.0,28.0,32.0,28.0
МУЛЬТ в кино. Выпуск № 90,nan,nan,nan,nan,nan,nan,nan,nan,0.0
Вокс Люкс,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
МУЛЬТ в кино. Выпуск № 93,nan,nan,nan,nan,nan,nan,nan,nan,0.0
Микеланджело. Бесконечность,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"ПАПА, СДОХНИ",0.0,0.0,0.0,0.0,0.0,0.0,68.0,100.0,32.0
Бладфест,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Время монстров,2.0,0.0,2.0,2.0,0.0,0.0,4.0,0.0,0.0
SuperЗять,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Дитя тьмы,23.0,13.0,18.0,9.0,12.0,9.0,16.0,43.0,27.0
Двойная жизнь,nan,nan,nan,nan,nan,nan,nan,nan,0.0
Мышеловка. 4Х4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Вудсток: Три дня, изменившие поколение",0.0,53.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0
Свет моей жизни,18.0,11.0,8.0,38.0,20.0,7.0,7.0,5.0,5.0
Клуб любителей книг и пирогов из картофельных очистков,0.0,0.0,0.0,0.0,0.0,6.0,0.0,6.0,0.0
"Проклятие ""Мэри""",0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,8.0
Маленькие чудовища,0.0,0.0,4.0,0.0,0.0,0.0,3.0,0.0,0.0
Иные,3.0,6.0,2.0,4.0,4.0,3.0,5.0,4.0,8.0
Ленин Неизбежность,nan,nan,nan,nan,nan,nan,nan,nan,0.0
МУЛЬТ в кино. Выпуск № 106,nan,nan,nan,nan,nan,nan,nan,nan,nan
Молодая женщина,26.0,13.0,26.0,9.0,17.0,17.0,9.0,9.0,5.0
Последний портрет,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Тор: Рагнарёк,4.0,3.0,5.0,5.0,6.0,6.0,9.0,12.0,15.0
Мои белые ночи,nan,nan,nan,nan,nan,nan,nan,nan,0.0
Ева,73.0,67.0,68.0,63.0,67.0,67.0,77.0,73.0,70.0
"Вествуд: панк, икона, активист",0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0
Миссис Хайд,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Реальные упыри,nan,nan,nan,nan,nan,nan,nan,nan,75.0
Невероятные приключения Факира,0.0,0.0,0.0,9.0,17.0,8.0,8.0,0.0,8.0
Большая афера в маленьком городе,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Голодные Z,nan,nan,nan,nan,nan,nan,nan,nan,0.0
Шоу Мистико,nan,nan,nan,nan,nan,nan,nan,nan,0.0
Панды,37.0,53.0,45.0,52.0,37.0,44.0,49.0,33.0,40.0
Школа,nan,nan,nan,nan,nan,nan,nan,nan,45.0
МакКуин,56.0,42.0,39.0,47.0,40.0,42.0,46.0,32.0,51.0
Песнь моря,nan,nan,nan,nan,nan,nan,nan,nan,47.0
Черная полоса,19.0,22.0,8.0,19.0,32.0,19.0,25.0,33.0,14.0
Приключения Аладдина,2.0,3.0,6.0,1.0,1.0,2.0,1.0,0.0,1.0
Святая Агата,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
Бэйбэрикээн,nan,nan,nan,nan,nan,nan,nan,nan,0.0
Сирано. Успеть до премьеры,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Нежная рука закона,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Italian Best Shorts 3: Итальянские фантазии (Лучшие итальянские короткометражки 3: Итальянские фантазии),nan,nan,nan,nan,nan,nan,nan,nan,0.0
Бегство рогатых викингов или пять дней из джизни Джонни Воробьёва,nan,nan,nan,nan,nan,nan,nan,nan,0.0
Охотник на оленей,nan,nan,nan,nan,nan,nan,nan,nan,12.0
Божественная любовь,0.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0
Работа без авторства,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
Зеровилль,0.0,6.0,8.0,0.0,0.0,3.0,10.0,5.0,100.0
Дикая Лига (авторская версия),nan,nan,nan,nan,nan,nan,nan,nan,0.0
Невиновен,nan,nan,nan,nan,nan,nan,nan,nan,0.0
Предатель,31.0,64.0,38.0,27.0,33.0,36.0,29.0,44.0,23.0
Рожденный после смерти,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Одной волшебной ночью,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0